Index	Red	Green	Blue
0	255	255	255
1	250	250	250
2	246	246	246
3	242	242	242
4	238	238	238
5	233	233	233
6	229	229	229
7	225	225	225
8	221	221	221
9	216	216	216
10	212	212	212
11	208	208	208
12	204	204	204
13	200	200	200
14	195	195	195
15	191	191	191
16	187	187	187
17	183	183	183
18	178	178	178
19	174	174	174
20	170	170	170
21	166	166	166
22	161	161	161
23	157	157	157
24	153	153	153
25	149	149	149
26	145	145	145
27	140	140	140
28	136	136	136
29	132	132	132
30	128	128	128
31	123	123	123
32	119	119	119
33	115	115	115
34	111	111	111
35	106	106	106
36	102	102	102
37	98	98	98
38	94	94	94
39	90	90	90
40	85	85	85
41	81	81	81
42	77	77	77
43	73	73	73
44	68	68	68
45	64	64	64
46	60	60	60
47	56	56	56
48	52	52	52
49	56	56	56
50	60	60	60
51	64	64	64
52	68	68	68
53	73	73	73
54	77	77	77
55	81	81	81
56	85	85	85
57	90	90	90
58	94	94	94
59	98	98	98
60	102	102	102
61	106	106	106
62	111	111	111
63	115	115	115
64	119	119	119
65	123	123	123
66	128	128	128
67	132	132	132
68	136	136	136
69	140	140	140
70	145	145	145
71	149	149	149
72	153	153	153
73	157	157	157
74	161	161	161
75	166	166	166
76	170	170	170
77	174	174	174
78	178	178	178
79	183	183	183
80	187	187	187
81	191	191	191
82	195	195	195
83	200	200	200
84	204	204	204
85	208	208	208
86	212	212	212
87	216	216	216
88	221	221	221
89	225	225	225
90	229	229	229
91	233	233	233
92	238	238	238
93	242	242	242
94	246	246	246
95	250	250	250
96	255	255	255
97	250	250	250
98	245	245	245
99	240	240	240
100	235	235	235
101	230	230	230
102	225	225	225
103	220	220	220
104	215	215	215
105	210	210	210
106	205	205	205
107	200	200	200
108	195	195	195
109	190	190	190
110	185	185	185
111	180	180	180
112	175	175	175
113	170	170	170
114	165	165	165
115	160	160	160
116	155	155	155
117	151	151	151
118	146	146	146
119	141	141	141
120	136	136	136
121	131	131	131
122	126	126	126
123	121	121	121
124	116	116	116
125	111	111	111
126	106	106	106
127	101	101	101
128	96	96	96
129	91	91	91
130	86	86	86
131	81	81	81
132	76	76	76
133	71	71	71
134	66	66	66
135	61	61	61
136	56	56	56
137	66	66	80
138	77	77	105
139	87	87	130
140	98	98	155
141	108	108	180
142	119	119	205
143	129	129	230
144	140	140	255
145	131	147	239
146	122	154	223
147	113	161	207
148	105	168	191
149	96	175	175
150	87	183	159
151	78	190	143
152	70	197	127
153	61	204	111
154	52	211	95
155	43	219	79
156	35	226	63
157	26	233	47
158	17	240	31
159	8	247	15
160	0	255	0
161	7	255	0
162	15	255	0
163	23	255	0
164	31	255	0
165	39	255	0
166	47	255	0
167	55	255	0
168	63	255	0
169	71	255	0
170	79	255	0
171	87	255	0
172	95	255	0
173	103	255	0
174	111	255	0
175	119	255	0
176	127	255	0
177	135	255	0
178	143	255	0
179	151	255	0
180	159	255	0
181	167	255	0
182	175	255	0
183	183	255	0
184	191	255	0
185	199	255	0
186	207	255	0
187	215	255	0
188	223	255	0
189	231	255	0
190	239	255	0
191	247	255	0
192	255	255	0
193	255	249	0
194	255	244	0
195	255	239	0
196	255	233	0
197	255	228	0
198	255	223	0
199	255	217	0
200	255	212	0
201	255	207	0
202	255	201	0
203	255	196	0
204	255	191	0
205	255	185	0
206	255	180	0
207	255	175	0
208	255	170	0
209	255	164	0
210	255	159	0
211	255	154	0
212	255	148	0
213	255	143	0
214	255	138	0
215	255	132	0
216	255	127	0
217	255	122	0
218	255	116	0
219	255	111	0
220	255	106	0
221	255	100	0
222	255	95	0
223	255	90	0
224	255	85	0
225	255	79	0
226	255	74	0
227	255	69	0
228	255	63	0
229	255	58	0
230	255	53	0
231	255	47	0
232	255	42	0
233	255	37	0
234	255	31	0
235	255	26	0
236	255	21	0
237	255	15	0
238	255	10	0
239	255	5	0
240	255	0	0
241	255	0	15
242	255	0	31
243	255	0	47
244	255	0	63
245	255	0	79
246	255	0	95
247	255	0	111
248	255	0	127
249	255	0	143
250	255	0	159
251	255	0	175
252	255	0	191
253	255	0	207
254	255	0	223
255	255	0	239
